3.0.0.0,3.127.255.255
3.128.0.0,3.255.255.255
4.0.0.0,4.127.255.255
4.128.0.0,4.143.255.255
4.144.0.0,4.159.255.255
4.160.0.0,4.175.255.255
4.176.0.0,4.191.255.255
4.192.0.0,4.207.255.255
4.208.0.0,4.223.255.255
4.224.0.0,4.239.255.255
4.240.0.0,4.255.255.255
6.0.0.0,6.255.255.255
7.0.0.0,7.255.255.255
8.0.0.0,8.127.255.255
8.192.0.0,8.207.255.255
8.224.0.0,8.239.255.255
8.240.0.0,8.241.255.255
8.242.0.0,8.243.255.255
8.244.0.0,8.247.255.255
8.248.0.0,8.255.255.255
9.0.0.0,9.7.255.255
9.8.0.0,9.8.255.255
9.10.0.0,9.11.255.255
9.12.0.0,9.15.255.255
9.16.0.0,9.31.255.255
9.32.0.0,9.63.255.255
9.64.0.0,9.127.255.255
9.128.0.0,9.255.255.255
11.0.0.0,11.255.255.255
12.0.0.0,12.255.255.255
13.0.0.0,13.15.255.255
13.16.0.0,13.23.255.255
13.24.0.0,13.31.255.255
13.32.0.0,13.47.255.255
13.48.0.0,13.55.255.255
13.56.0.0,13.59.255.255
13.60.0.0,13.63.255.255
13.64.0.0,13.95.255.255
13.96.0.0,13.103.255.255
13.104.0.0,13.107.255.255
13.108.0.0,13.111.255.255
13.112.0.0,13.115.255.255
13.116.0.0,13.123.255.255
13.124.0.0,13.127.255.255
13.128.0.0,13.128.255.255
13.129.0.0,13.129.255.255
13.130.0.0,13.130.255.255
13.131.0.0,13.131.255.255
13.132.0.0,13.133.255.255
13.134.0.0,13.135.255.255
13.136.0.0,13.139.255.255
13.140.0.0,13.143.255.255
13.144.0.0,13.144.255.255
13.145.0.0,13.145.255.255
13.146.0.0,13.146.255.255
13.147.0.0,13.147.255.255
13.148.0.0,13.149.255.255
13.150.0.0,13.151.255.255
13.152.0.0,13.152.255.255
13.153.0.0,13.153.255.255
13.154.0.0,13.154.255.255
13.155.0.0,13.155.255.255
13.156.0.0,13.157.255.255
13.158.0.0,13.159.255.255
13.160.0.0,13.160.255.255
13.161.0.0,13.161.255.255
13.162.0.0,13.162.255.255
13.163.0.0,13.163.255.255
13.164.0.0,13.165.255.255
13.166.0.0,13.167.255.255
13.168.0.0,13.183.255.255
13.184.0.0,13.191.255.255
13.192.0.0,13.199.255.255
13.200.0.0,13.207.255.255
13.208.0.0,13.223.255.255
13.224.0.0,13.239.255.255
13.240.0.0,13.243.255.255
13.244.0.0,13.247.255.255
13.248.0.0,13.251.255.255
13.252.0.0,13.255.255.255
15.0.0.0,15.63.255.255
15.64.0.0,15.95.255.255
15.96.0.0,15.99.255.255
15.100.0.0,15.101.255.255
15.102.0.0,15.102.255.255
15.103.0.0,15.103.255.255
15.104.0.0,15.111.255.255
15.112.0.0,15.127.255.255
15.128.0.0,15.128.255.255
15.129.0.0,15.129.255.255
15.130.0.0,15.131.255.255
15.132.0.0,15.133.255.255
15.134.0.0,15.134.255.255
15.135.0.0,15.135.255.255
15.136.0.0,15.137.255.255
15.138.0.0,15.138.255.255
15.139.0.0,15.139.255.255
15.140.0.0,15.141.255.255
15.142.0.0,15.142.255.255
15.143.0.0,15.143.255.255
15.144.0.0,15.147.255.255
15.148.0.0,15.148.255.255
15.149.0.0,15.149.255.255
15.150.0.0,15.150.255.255
15.151.0.0,15.151.255.255
15.152.0.0,15.155.255.255
15.156.0.0,15.157.255.255
15.158.0.0,15.158.255.255
15.159.0.0,15.159.255.255
15.160.0.0,15.161.255.255
15.162.0.0,15.162.255.255
15.163.0.0,15.163.255.255
15.164.0.0,15.167.255.255
15.168.0.0,15.171.255.255
15.172.0.0,15.172.255.255
15.173.0.0,15.173.255.255
15.174.0.0,15.174.255.255
15.175.0.0,15.175.255.255
15.176.0.0,15.176.255.255
15.177.0.0,15.177.255.255
15.178.0.0,15.178.255.255
15.179.0.0,15.179.255.255
